Method,PICP,MPIW,MAE,RMSE,CWC,IS
Quantile_Regression,60.10230179028133,6.8694376945495605,2.9560790061950684,4.891190052032471,75.21243675285594,15.508000254631044
GP_Approximation,91.81585677749361,11.381089210510254,2.730562925338745,4.891612529754639,11.381089210510254,14.779524326324463
NPKDE,94.50127877237851,17.140024642292293,2.8903635597734825,4.871770425387446,17.140024642292293,20.260118456585804
Adaptive_CAUN,95.39641943734016,14.314186096191406,2.276623487472534,4.702366828918457,14.314186096191406,16.99162048101425
